"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0";;;
2;"U1";"Wemos D1 mini connectort";1;"Wemos D1 mini connector";;;
3;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
4;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
5;"Q1,Q3,Q2";"SOT-23";3;"2N7002";;;
6;"R1,R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k";;;
7;"C7,C4,C2,C6,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100nF";;;
8;"R19,R17,R20,R11,R15,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"330R";;;
9;"R6,R10,R12,R8,R9,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
10;"D2";"D_SOD-123";1;"1N5819";;;
11;"R13,R16,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100k";;;
12;"U2";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"MCP23017_SO";;;
13;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03_Socket";;;
14;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3k3";;;
15;"D3,D4";"SOT-323_SC-70";2;"SP0502BAJT";;;
16;"J1";"PinSocket_1x09_P2.54mm_Vertical";1;"Connections";;;
17;"C3";"CP_Elec_10x12.5";1;"220uF";;;
